Aar,amt,antal_svin
1861,Kbn stad,871
1866,Kbn stad,1436
1871,Kbn stad,1549
1876,Kbn stad,872
1881,Kbn stad,961
1888,Kbn stad,294
1893,Kbn stad,887
1898,Kbn stad,275
1903,Kbn stad,4133
1909,Kbn stad,3906
1914,Kbn stad,7565
1861,Kbn amt,18565
1866,Kbn amt,22297
1871,Kbn amt,24727
1876,Kbn amt,24011
1881,Kbn amt,28586
1888,Kbn amt,33354
1893,Kbn amt,42426
1898,Kbn amt,59122
1903,Kbn amt,62248
1909,Kbn amt,57852
1914,Kbn amt,99911
1861,Frederiksborg,22533
1866,Frederiksborg,25907
1871,Frederiksborg,29388
1876,Frederiksborg,27889
1881,Frederiksborg,30497
1888,Frederiksborg,43259
1893,Frederiksborg,47415
1898,Frederiksborg,64751
1903,Frederiksborg,69129
1909,Frederiksborg,69169
1914,Frederiksborg,98964
1861,Holbaek,26551
1866,Holbaek,36394
1871,Holbaek,40434
1876,Holbaek,43295
1881,Holbaek,48543
1888,Holbaek,65539
1893,Holbaek,80295
1898,Holbaek,110047
1903,Holbaek,129630
1909,Holbaek,125658
1914,Holbaek,197634
1861,Soroe,20678
1866,Soroe,27507
1871,Soroe,30220
1876,Soroe,34878
1881,Soroe,40451
1888,Soroe,54637
1893,Soroe,66499
1898,Soroe,94016
1903,Soroe,108539
1909,Soroe,98271
1914,Soroe,150866
1861,Praestoe,28664
1866,Praestoe,33422
1871,Praestoe,36103
1876,Praestoe,37021
1881,Praestoe,42292
1888,Praestoe,57613
1893,Praestoe,69432
1898,Praestoe,98615
1903,Praestoe,116382
1909,Praestoe,113114
1914,Praestoe,172064
1861,Bornholms,6497
1866,Bornholms,5958
1871,Bornholms,7506
1876,Bornholms,5820
1881,Bornholms,7096
1888,Bornholms,12692
1893,Bornholms,15248
1898,Bornholms,24577
1903,Bornholms,30423
1909,Bornholms,32586
1914,Bornholms,51788
1861,Maribo,22631
1866,Maribo,23074
1871,Maribo,25157
1876,Maribo,23282
1881,Maribo,26951
1888,Maribo,39196
1893,Maribo,41454
1898,Maribo,63038
1903,Maribo,76058
1909,Maribo,77849
1914,Maribo,132083
1861,Odense,22883
1866,Odense,25498
1871,Odense,30177
1876,Odense,32353
1881,Odense,31574
1888,Odense,49597
1893,Odense,49632
1898,Odense,68407
1903,Odense,84482
1909,Odense,83621
1914,Odense,134323
1861,Svendborg,18905
1866,Svendborg,24052
1871,Svendborg,27921
1876,Svendborg,27943
1881,Svendborg,28366
1888,Svendborg,42337
1893,Svendborg,43031
1898,Svendborg,55296
1903,Svendborg,74114
1909,Svendborg,77906
1914,Svendborg,141486
1861,Hjoerring,11474
1866,Hjoerring,16211
1871,Hjoerring,22843
1876,Hjoerring,30938
1881,Hjoerring,34605
1888,Hjoerring,54946
1893,Hjoerring,55140
1898,Hjoerring,75183
1903,Hjoerring,98325
1909,Hjoerring,92510
1914,Hjoerring,160674
1861,Thisted,4758
1866,Thisted,5891
1871,Thisted,7066
1876,Thisted,9724
1881,Thisted,10982
1888,Thisted,23486
1893,Thisted,20184
1898,Thisted,26538
1903,Thisted,38504
1909,Thisted,43168
1914,Thisted,80239
1861,Aalborg,11232
1866,Aalborg,14866
1871,Aalborg,18807
1876,Aalborg,28867
1881,Aalborg,27603
1888,Aalborg,40357
1893,Aalborg,45691
1898,Aalborg,65372
1903,Aalborg,88464
1909,Aalborg,92182
1914,Aalborg,159077
1861,Viborg,12121
1866,Viborg,17119
1871,Viborg,20611
1876,Viborg,28370
1881,Viborg,27498
1888,Viborg,37525
1893,Viborg,40111
1898,Viborg,58063
1903,Viborg,77051
1909,Viborg,81551
1914,Viborg,151078
1861,Randers,14241
1866,Randers,17806
1871,Randers,20588
1876,Randers,23649
1881,Randers,22997
1888,Randers,36031
1893,Randers,37422
1898,Randers,52852
1903,Randers,67563
1909,Randers,65370
1914,Randers,131902
1861,Aarhus,7290
1866,Aarhus,24639
1871,Aarhus,28754
1876,Aarhus,34204
1881,Aarhus,33535
1888,Aarhus,52168
1893,Aarhus,52665
1898,Aarhus,78086
1903,Aarhus,95221
1909,Aarhus,95906
1914,Aarhus,212255
1861,Vejle,14496
1866,Vejle,23209
1871,Vejle,26987
1876,Vejle,35597
1881,Vejle,31767
1888,Vejle,46071
1893,Vejle,43917
1898,Vejle,63876
1903,Vejle,86486
1909,Vejle,87797
1914,Vejle,142023
1861,Ringkoebing,14961
1866,Ringkoebing,20619
1871,Ringkoebing,24187
1876,Ringkoebing,30636
1881,Ringkoebing,31211
1888,Ringkoebing,47723
1893,Ringkoebing,47210
1898,Ringkoebing,65569
1903,Ringkoebing,87343
1909,Ringkoebing,99172
1914,Ringkoebing,157812
1861,Ribe,12493
1866,Ribe,15607
1871,Ribe,19396
1876,Ribe,24318
1881,Ribe,21902
1888,Ribe,33960
1893,Ribe,30472
1898,Ribe,44810
1903,Ribe,62604
1909,Ribe,70234
1914,Ribe,114962
